PDB_ID	CHAIN_INDEX	ORIGINAL_CHAIN_ID	EXPECTED_PROTENIX_CHAIN_ID	ENTITY_ID	SEQUENCE_LENGTH	SEQUENCE_SHA256	NON_ACGU_COUNT	UNK_TOKEN_COUNT	EMBEDDING_METHOD	WINDOW_COUNT	WINDOW_STARTS	OUTPUT_PATH
2JTP	0	A	A	1	34	f376f3b67bfc6f722a552ff48f451edfb20c025e11a62869282dab050f6b595d	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2JTP/rnafm_t12_residue_embeddings.pt
2JUK	0	A	A	1	22	8dfe0b749fca6da4607650b8a539d6aa9033a3989e6c27617babeee5bc0efec4	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2JUK/rnafm_t12_residue_embeddings.pt
2JWV	0	A	A	1	29	2b2db20d8ded1a8a584fdaced143db4bed7415379ebeb91c869de7ceda36e218	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2JWV/rnafm_t12_residue_embeddings.pt
2JXQ	0	A	A	1	10	5a20e0b84279acc41a036fcb96ec55c32c1e63d8e189e3c2b5733ac5372a1bb0	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2JXQ/rnafm_t12_residue_embeddings.pt
2JXQ	1	B	B	2	10	4967b17955d2db6ea2b75c0312414457ab5f947687979613787f4d2cdf82b313	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2JXQ/rnafm_t12_residue_embeddings.pt
2JXS	0	A	A	1	11	4f4f045c923292db3f93e33321b9445711247be09b5ab04a777d52b67c8eb825	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2JXS/rnafm_t12_residue_embeddings.pt
2JXS	1	B	B	2	10	4967b17955d2db6ea2b75c0312414457ab5f947687979613787f4d2cdf82b313	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2JXS/rnafm_t12_residue_embeddings.pt
2JXV	0	A	A	1	33	497f4ee997b99dde182a7405c1c195634b8b1f8929c2f545d45e7e05ea3b8dd1	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2JXV/rnafm_t12_residue_embeddings.pt
2JYF	0	A	A	1	43	5598cc7e04f20e555893d1d56058ffe6267d9af710076eab1f5fa39c1e290313	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2JYF/rnafm_t12_residue_embeddings.pt
2JYF	1	B	B	1	43	5598cc7e04f20e555893d1d56058ffe6267d9af710076eab1f5fa39c1e290313	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2JYF/rnafm_t12_residue_embeddings.pt
2JYH	0	A	A	1	43	5598cc7e04f20e555893d1d56058ffe6267d9af710076eab1f5fa39c1e290313	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2JYH/rnafm_t12_residue_embeddings.pt
2JYH	1	B	B	1	43	5598cc7e04f20e555893d1d56058ffe6267d9af710076eab1f5fa39c1e290313	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2JYH/rnafm_t12_residue_embeddings.pt
2JYJ	0	A	A	1	43	5598cc7e04f20e555893d1d56058ffe6267d9af710076eab1f5fa39c1e290313	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2JYJ/rnafm_t12_residue_embeddings.pt
2JYJ	1	B	B	1	43	5598cc7e04f20e555893d1d56058ffe6267d9af710076eab1f5fa39c1e290313	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2JYJ/rnafm_t12_residue_embeddings.pt
2JYM	0	A	A	1	22	c820495b732395a5e8b1b64256e68421858fc300fd2dddf7c0b660d83618b3aa	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2JYM/rnafm_t12_residue_embeddings.pt
2K3Z	0	A	A	1	9	99ccec93af9523548d7fedb53ff460960af39516ab2133edc8f21541db3d941f	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2K3Z/rnafm_t12_residue_embeddings.pt
2K3Z	1	B	B	2	8	bf31dd9dcda408b908704c7ffb667c5f4a5a44fe33ca6fe925497d945eda7c80	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2K3Z/rnafm_t12_residue_embeddings.pt
2K41	0	A	A	1	9	9124204bf2f96f7f471a76562b18dae65ab8814979eab24e8a6ce345d4477e94	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2K41/rnafm_t12_residue_embeddings.pt
2K41	1	B	B	2	8	bf31dd9dcda408b908704c7ffb667c5f4a5a44fe33ca6fe925497d945eda7c80	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2K41/rnafm_t12_residue_embeddings.pt
2K4C	0	A	A	1	76	305b03a9cec4400a09c73a28c0d73097761974fe0fab1aa16eac7e2b7b7f1f3d	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2K4C/rnafm_t12_residue_embeddings.pt
2K5Z	0	A	A	1	29	9ea440be10fbc2b2630450a8b4f58eb9d1f03cce4fad05c0c434ede216527861	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2K5Z/rnafm_t12_residue_embeddings.pt
2K65	0	A	A	1	7	a43229d7e9131eafe00013588191becfe815f680bffc4fd7d9f89d94bc247027	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2K65/rnafm_t12_residue_embeddings.pt
2K65	1	B	B	2	7	021e2d3e672397aeb42260c6948b1d28d98d17dae7acea1f6a53c285a322d50f	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2K65/rnafm_t12_residue_embeddings.pt
2K66	0	A	A	1	22	c28c64d79f069305927de367575bbd963ee4a5faf28bd00c6f9d6239882cd856	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2K66/rnafm_t12_residue_embeddings.pt
2K7E	0	A	A	1	12	2033e75b35dee8706b2ac45e74d4ba6a3d2ff824cdf3ee4639a6450c1b059a38	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2K7E/rnafm_t12_residue_embeddings.pt
2K7E	1	B	B	2	12	f865b9279e04528f6f803b59b2d116a647a3b4f94735bbc44004d5a97e5ae450	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2K7E/rnafm_t12_residue_embeddings.pt
2K95	0	A	A	1	48	2ee347fafa00e6bbfb6fd02111542b6619d81c6e2a818275c638d2dd1e95983b	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2K95/rnafm_t12_residue_embeddings.pt
2K96	0	A	A	1	47	7e7ebf55066d5ea58a1e7596938bf91b61404f337815e8e6a9391b869175304a	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2K96/rnafm_t12_residue_embeddings.pt
2KBP	0	A	A	1	12	28440b6394297d1e66cbbfea19d5b87f64593ec79a48f8372b989a70d13a2830	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KBP/rnafm_t12_residue_embeddings.pt
2KBP	1	B	B	1	12	28440b6394297d1e66cbbfea19d5b87f64593ec79a48f8372b989a70d13a2830	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KBP/rnafm_t12_residue_embeddings.pt
2KD4	0	A	A	1	8	cf8e75f1a8a74c519a328b600772ee1471f3a7ea514d217fed66970f2adfde42	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KD4/rnafm_t12_residue_embeddings.pt
2KD4	1	B	B	1	8	cf8e75f1a8a74c519a328b600772ee1471f3a7ea514d217fed66970f2adfde42	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KD4/rnafm_t12_residue_embeddings.pt
2KD8	0	A	A	1	22	72067c26e1a026a45aaa85ce7073db8e2e108924c256061b49d2753f040f54d9	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KD8/rnafm_t12_residue_embeddings.pt
2KE6	0	A	A	1	48	d446b2ae98299577799b3c035073fa83428230b69a470c7b556e1abd353c551b	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KE6/rnafm_t12_residue_embeddings.pt
2KEZ	0	A	A	1	24	291b8161a6920c48f9fe1afcc744b13729a08a2659eda9c9af97156ff09409fc	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KEZ/rnafm_t12_residue_embeddings.pt
2KF0	0	A	A	1	24	291b8161a6920c48f9fe1afcc744b13729a08a2659eda9c9af97156ff09409fc	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KF0/rnafm_t12_residue_embeddings.pt
2KGP	0	A	A	1	25	e35c8599c960a450716afb747ebb69b6d583c092880ea8d95fd4673058cd4d7a	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KGP/rnafm_t12_residue_embeddings.pt
2KHY	0	A	A	1	38	199074bf0fc77816c8109e0207718a8859edeac16958ac1cadd396a3c2dcfc2a	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KHY/rnafm_t12_residue_embeddings.pt
2KOC	0	A	A	1	14	619d665c54bc558cce18befff02b10078907a9b0c59266f0d676354273ddeba3	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KOC/rnafm_t12_residue_embeddings.pt
2KP3	0	A	A	1	10	108702d42a60508e6c6e4d9fd356e616cef5babe4eaf5e3d11c1206c335a6afb	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KP3/rnafm_t12_residue_embeddings.pt
2KP3	1	B	B	2	10	1d22863464b474bc959d46c8bad9ce928dbf200a6b41680eaed8c59fa0a4de6b	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KP3/rnafm_t12_residue_embeddings.pt
2KPC	0	A	A	1	17	e8cdfa31ee30d168c5f368aa0a62510b2e2056daa221571731bebbc91d82b365	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KPC/rnafm_t12_residue_embeddings.pt
2KPD	0	A	A	1	17	a0a12c4e3a1e6d9f99eebc94568fc19cda19b5f49757994874431c05b95f5c9b	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KPD/rnafm_t12_residue_embeddings.pt
2KPV	0	A	A	1	34	69a2bb52b87cd428356454a8c35b824a9236a28e0b708f09bc022a5eedc3985f	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KPV/rnafm_t12_residue_embeddings.pt
2KRL	0	A	A	1	102	d52ffe9274c5c040663d2709933d3bd2546592d1f6946ea5096baaaa644b110f	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KRL/rnafm_t12_residue_embeddings.pt
2KRP	0	A	A	1	17	e1f82133515329827a9bd1c7fce27d49093efcc3e9d5ebeb0169df3721e22bce	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KRP/rnafm_t12_residue_embeddings.pt
2KRQ	0	A	A	1	17	66261b1a119c1ec6df48b780de6affb64a036dec934e8edd40dc11c99d4fc21a	1	1	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KRQ/rnafm_t12_residue_embeddings.pt
2KRV	0	A	A	1	17	66261b1a119c1ec6df48b780de6affb64a036dec934e8edd40dc11c99d4fc21a	1	1	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KRV/rnafm_t12_residue_embeddings.pt
2KRW	0	A	A	1	17	e1f82133515329827a9bd1c7fce27d49093efcc3e9d5ebeb0169df3721e22bce	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KRW/rnafm_t12_residue_embeddings.pt
2KRY	0	A	A	1	17	4b255b6dc1ea30609a47f7c054e0468526043d119cdef1273ef6b97a0c6c6e1a	1	1	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KRY/rnafm_t12_residue_embeddings.pt
2KRZ	0	A	A	1	17	3a68340919cc04ac5ef75f9699663b7f14bc27ce8b3696869670d400aa7ff333	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KRZ/rnafm_t12_residue_embeddings.pt
2KTZ	0	A	A	1	38	8c3962d98d68bcb4923fc7b16e66713192da5cbdda337da63253b6e185edd099	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KTZ/rnafm_t12_residue_embeddings.pt
2KU0	0	A	A	1	38	8c3962d98d68bcb4923fc7b16e66713192da5cbdda337da63253b6e185edd099	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KU0/rnafm_t12_residue_embeddings.pt
2KUR	0	A	A	1	48	908ba86da1eb1199dc7799112626e6b6ce9819053b58a9634ec8d6b13dab6e00	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KUR/rnafm_t12_residue_embeddings.pt
2KUU	0	A	A	1	48	97ad49ab5dcbc705ee8434ea77392348c7ff671c30e8f0089dd33e96cad2980a	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KUU/rnafm_t12_residue_embeddings.pt
2KUV	0	A	A	1	48	b26ae2ffb7603bb12e0482eed0dbe98a16bc8e4ba8cf6b5f207f97ac8bc1ab0a	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KUV/rnafm_t12_residue_embeddings.pt
2KUW	0	A	A	1	48	2bf279696d734915c4da8ee063a6a2274ee8d0e5682616c85f6adff4a6e3582a	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KUW/rnafm_t12_residue_embeddings.pt
2KVN	0	A	A	1	17	5b0ba94abfb7fb0af11a83f08a61908c5150b1d2f308dd7dfa4acb6660ec32a8	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KVN/rnafm_t12_residue_embeddings.pt
2KWG	0	A	A	1	21	4cfc647ea2efec135f4e64094c7be71c870bfa6b2250782ecbed7267252eb2a0	7	7	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KWG/rnafm_t12_residue_embeddings.pt
2KWG	1	B	B	2	21	23ed52e0758f60d01e8d0b30b88d6bc47a64d5e1456492ceb79a7591237217d8	7	7	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KWG/rnafm_t12_residue_embeddings.pt
2KX8	0	A	A	1	42	ba1fbeaf2252ec68e94347b972b46c9562a40e77d3f3f0c210ce94d7932326e5	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KX8/rnafm_t12_residue_embeddings.pt
2KXM	0	A	A	1	27	8d43abef35e79b86af8a0296b95c099f6aa6d1858eb0378f680f00acd412805f	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KXM/rnafm_t12_residue_embeddings.pt
2KXZ	0	A	A	1	11	309d3658dd9abbf92c78476066b98d4a4c14473f57757a4846b7f5059772b875	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KXZ/rnafm_t12_residue_embeddings.pt
2KXZ	1	B	B	1	11	309d3658dd9abbf92c78476066b98d4a4c14473f57757a4846b7f5059772b875	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KXZ/rnafm_t12_residue_embeddings.pt
2KY0	0	A	A	1	11	81bb4ee41b211156bada37d4347291245a338dec4257b49bc662d401daf3a51c	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KY0/rnafm_t12_residue_embeddings.pt
2KY0	1	B	B	1	11	81bb4ee41b211156bada37d4347291245a338dec4257b49bc662d401daf3a51c	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KY0/rnafm_t12_residue_embeddings.pt
2KY1	0	A	A	1	11	39f729385c2ac8cb75987ed8179df317d466d39b0acaa43b695cb3e40eb7b0cf	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KY1/rnafm_t12_residue_embeddings.pt
2KY1	1	B	B	1	11	39f729385c2ac8cb75987ed8179df317d466d39b0acaa43b695cb3e40eb7b0cf	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KY1/rnafm_t12_residue_embeddings.pt
2KY2	0	A	A	1	9	cd38900f080424265c40c44eb39e1bf0b00852058fd28516d0b9ed9a0fd63d3b	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KY2/rnafm_t12_residue_embeddings.pt
2KY2	1	B	B	1	9	cd38900f080424265c40c44eb39e1bf0b00852058fd28516d0b9ed9a0fd63d3b	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KY2/rnafm_t12_residue_embeddings.pt
2KYD	0	A	A	1	16	7436ac002c708c8459ede85c24a73d33c767ded3c6e38235459592800b1c7199	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KYD/rnafm_t12_residue_embeddings.pt
2KYD	1	B	B	1	16	7436ac002c708c8459ede85c24a73d33c767ded3c6e38235459592800b1c7199	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KYD/rnafm_t12_residue_embeddings.pt
2KYE	0	A	A	1	15	9b6856e61265f29df27ee3ac6a6338e676eded17048bfd4b9dea31be199009ae	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KYE/rnafm_t12_residue_embeddings.pt
2KZL	0	A	A	1	55	1db0a8fdd2e882722122c955d7957427a8822650a419c3d9fa5b00b079378517	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2KZL/rnafm_t12_residue_embeddings.pt
2L1F	0	A	A	1	65	18dd24d6c4b1fc8806cb4f93a4fa66e6315dc58e70aa6db00caa6b3f381576be	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L1F/rnafm_t12_residue_embeddings.pt
2L1F	1	B	B	2	66	eb9adcbed9cd9b52b8f01aec04fc79bf1b60b141f8184b35637fb02167eb654b	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L1F/rnafm_t12_residue_embeddings.pt
2L1V	0	A	A	1	36	b82e8db54c613200ad916d663890a84ca10aba30403796411132c333537255e0	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L1V/rnafm_t12_residue_embeddings.pt
2L2J	0	A	A	1	42	f4bb04a2b1e76931ce4c9d70cc0b876d3dfdceae9874684533a7522173afb04a	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L2J/rnafm_t12_residue_embeddings.pt
2L3E	0	A	A	1	35	99651a6691f80c78cddb2bc7ed2dc38f6ca2d7eb45e36dec48df05704cea0343	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L3E/rnafm_t12_residue_embeddings.pt
2L5Z	0	A	A	1	26	9f747b27f8fb58c7ec2c8b9a10b11c40b9862e366da70d8ef87da63105745869	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L5Z/rnafm_t12_residue_embeddings.pt
2L6I	0	A	A	1	16	066425cf721fdfefcaeaf50b1b59c0b0ce42b14cbd20a8f11ec30ae21db9ea64	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L6I/rnafm_t12_residue_embeddings.pt
2L8C	0	A	A	1	9	48a9b186140541b9c1307639c57e448ebae6575fada05bb1ad963d19fa0dae21	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L8C/rnafm_t12_residue_embeddings.pt
2L8C	1	B	B	1	9	48a9b186140541b9c1307639c57e448ebae6575fada05bb1ad963d19fa0dae21	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L8C/rnafm_t12_residue_embeddings.pt
2L8F	0	A	A	1	11	a245e590c64e099f307fe6c90ce17230365fe9c04f4af50b107b37fa00637cdb	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L8F/rnafm_t12_residue_embeddings.pt
2L8F	1	B	B	2	11	de1bb44892dde410d0ff86600783e0833d3dcf1edfe67d7474ab3df6e7f720ed	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L8F/rnafm_t12_residue_embeddings.pt
2L8H	0	A	A	1	29	009a3155c2070b7e2bc7fe4b01041587c3baab2a9836a546f93403572b2f4f52	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L8H/rnafm_t12_residue_embeddings.pt
2L8U	0	A	A	1	9	48a9b186140541b9c1307639c57e448ebae6575fada05bb1ad963d19fa0dae21	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L8U/rnafm_t12_residue_embeddings.pt
2L8U	1	B	B	1	9	48a9b186140541b9c1307639c57e448ebae6575fada05bb1ad963d19fa0dae21	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L8U/rnafm_t12_residue_embeddings.pt
2L8W	0	A	A	1	9	48a9b186140541b9c1307639c57e448ebae6575fada05bb1ad963d19fa0dae21	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L8W/rnafm_t12_residue_embeddings.pt
2L8W	1	B	B	1	9	48a9b186140541b9c1307639c57e448ebae6575fada05bb1ad963d19fa0dae21	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L8W/rnafm_t12_residue_embeddings.pt
2L94	0	A	A	1	45	7f72a8ef578a3b52453cf8d02db65430f851b294ee3383a37c49d5acc3b8ea4a	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L94/rnafm_t12_residue_embeddings.pt
2L9E	0	A	A	1	17	85b7c7e32b2002f70d9c46a34479417cac426a8cf911e607f33a610b30b200a5	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2L9E/rnafm_t12_residue_embeddings.pt
2LA9	0	A	A	1	17	f86d9756a9a1ec1e3c5de3f51369454cd08774f833364e860989492f2f760237	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2LA9/rnafm_t12_residue_embeddings.pt
2LAC	0	A	A	1	17	f86d9756a9a1ec1e3c5de3f51369454cd08774f833364e860989492f2f760237	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2LAC/rnafm_t12_residue_embeddings.pt
2LBJ	0	A	A	1	17	0c243b936da1c61d9aae5f3b67b7b522ac8359355d08a05c00c3598ae692614f	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2LBJ/rnafm_t12_residue_embeddings.pt
2LBK	0	A	A	1	17	bd612854cca7cb6e72f76e948ced0de9ade93d16cde0248bc35f5ab696afd204	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2LBK/rnafm_t12_residue_embeddings.pt
2LBL	0	A	A	1	17	d8172f87cd3f73df53e281afed541b899ceb33502a075f659063e26764309109	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2LBL/rnafm_t12_residue_embeddings.pt
2LBQ	0	A	A	1	17	f86d9756a9a1ec1e3c5de3f51369454cd08774f833364e860989492f2f760237	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2LBQ/rnafm_t12_residue_embeddings.pt
2LBR	0	A	A	1	17	f86d9756a9a1ec1e3c5de3f51369454cd08774f833364e860989492f2f760237	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2LBR/rnafm_t12_residue_embeddings.pt
2LC8	0	A	A	1	63	4794011063e694d20e4d61ef5201e1c7a0bce27500f0891cb6c696ed6b42459d	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2LC8/rnafm_t12_residue_embeddings.pt
2LDL	0	A	A	1	27	6ba1991450b4481e3a0c0ad1491138b2bbce8b838214ffec819d066018c62ea9	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2LDL/rnafm_t12_residue_embeddings.pt
2LDT	0	A	A	1	31	f4e95bd8b2a15ae0a3b86f14abaf17b9a29cb229e83c3a25bb268ef96e0720d0	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2LDT/rnafm_t12_residue_embeddings.pt
2LDZ	0	A	A	1	30	7472bea4a6536d0d6b9341a7a2918d55b671b6f7a95655843c7aa38cb680ec5c	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2LDZ/rnafm_t12_residue_embeddings.pt
2LHP	0	A	A	1	37	98d4bdcb41df4745858be3cfd522655fd5ccb85024fe6c6d461dfc8092d55976	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2LHP/rnafm_t12_residue_embeddings.pt
2LI4	0	A	A	1	32	7629bda966ae8dfe2d9e75882b61daff9bb21b4aa8e94a5d616c1ae73ef3aa0e	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2LI4/rnafm_t12_residue_embeddings.pt
2LJJ	0	A	A	1	27	468ec124624e6616d468e28be8d9a826b3c4e5df4f0064e74f71ac1f7d8bcef9	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2LJJ/rnafm_t12_residue_embeddings.pt
2LK3	0	A	A	1	24	349fa78dfa16f5aab06a456b78b20cdd7c5b90dcef091e61432fc83771c4d2a9	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/2LK3/rnafm_t12_residue_embeddings.pt
